,player_id,player_slug,first_name,last_name,player_url,flag_code,residence,birthplace,birthdate,birth_year,birth_month,birth_day,turned_pro,weight_lbs,weight_kg,height_ft,height_inches,height_cm,handedness,backhand
12,a020,mehl-ampon,Mehl,Ampon,http://www.atpworldtour.com/en/players/mehl-ampon/a020/overview,USA,,"Manila, Phillipines",1956.11.30,1956.0,11.0,30.0,0.0,0.0,0.0,"0'0""",0.0,,Right-Handed,
13,a018,christer-allgardh,Christer,Allgardh,http://www.atpworldtour.com/en/players/christer-allgardh/a018/overview,SWE,"Vasteras, Sweden","Boras, Sweden",1967.02.20,1967.0,2.0,20.0,1983.0,170.0,77.0,"6'3""",75.0,190.0,Right-Handed,
14,a021,anand-amritraj,Anand,Amritraj,http://www.atpworldtour.com/en/players/anand-amritraj/a021/overview,IND,,"Madras, India",1952.03.20,1952.0,3.0,20.0,0.0,170.0,77.0,"6'1""",73.0,185.0,Right-Handed,
15,a022,vijay-amritraj,Vijay,Amritraj,http://www.atpworldtour.com/en/players/vijay-amritraj/a022/overview,IND,,"Madras, India",1953.12.14,1953.0,12.0,14.0,0.0,190.0,86.0,"6'4""",76.0,193.0,Right-Handed,
16,a024,juan-carlos-andrade,Juan Carlos,Andrade,http://www.atpworldtour.com/en/players/juan-carlos-andrade/a024/overview,ESP,,,1957.02.22,1957.0,2.0,22.0,0.0,0.0,0.0,"0'0""",0.0,,,
17,a023,andy-andrews,Andy,Andrews,http://www.atpworldtour.com/en/players/andy-andrews/a023/overview,USA,,"Raleigh, NC, U.S.A.",1959.01.01,1959.0,1.0,1.0,0.0,180.0,82.0,"6'1""",73.0,185.0,Right-Handed,
18,a025,matt-anger,Matt,Anger,http://www.atpworldtour.com/en/players/matt-anger/a025/overview,USA,"Clyde Hill, WA","Walnut Creek, CA",1963.06.20,1963.0,6.0,20.0,1984.0,170.0,77.0,"6'2""",74.0,188.0,Right-Handed,
19,a027,paul-annacone,Paul,Annacone,http://www.atpworldtour.com/en/players/paul-annacone/a027/overview,USA,"Topanga, CA, USA","Southampton, NY, USA",1963.03.20,1963.0,3.0,20.0,1984.0,175.0,79.0,"6'1""",73.0,185.0,Right-Handed,
20,a028,alex-antonitsch,Alex,Antonitsch,http://www.atpworldtour.com/en/players/alex-antonitsch/a028/overview,AUT,"Vienna, Austria","Villach, Austria",1966.02.08,1966.0,2.0,8.0,1988.0,188.0,85.0,"6'2""",74.0,188.0,Right-Handed,
21,a029,corrado-aprili,Corrado,Aprili,http://www.atpworldtour.com/en/players/corrado-aprili/a029/overview,ITA,,"Verona, Italy",1964.11.13,1964.0,11.0,13.0,0.0,177.0,80.0,"6'3""",75.0,190.0,Right-Handed,
22,a030,roberto-arguello,Roberto,Arguello,http://www.atpworldtour.com/en/players/roberto-arguello/a030/overview,ARG,,"Rosario, Argentina",1963.05.12,1963.0,5.0,12.0,0.0,146.0,66.0,"5'8""",68.0,173.0,Ambidextrous,
23,a031,jimmy-arias,Jimmy,Arias,http://www.atpworldtour.com/en/players/jimmy-arias/a031/overview,USA,"Buffalo, NY","Buffalo, NY",1964.08.16,1964.0,8.0,16.0,1980.0,155.0,70.0,"5'9""",69.0,175.0,Right-Handed,
24,a032,marco-armellini,Marco,Armellini,http://www.atpworldtour.com/en/players/marco-armellini/a032/overview,ITA,,"Udine, Italy",1960.08.17,1960.0,8.0,17.0,0.0,187.0,85.0,"6'2""",74.0,188.0,Right-Handed,
25,a034,jordi-arrese,Jordi,Arrese,http://www.atpworldtour.com/en/players/jordi-arrese/a034/overview,ESP,"Barcelona, Spain","Barcelona, Spain",1964.08.29,1964.0,8.0,29.0,1982.0,142.0,64.0,"5'9""",69.0,175.0,Right-Handed,
26,a035,pablo-arraya,Pablo,Arraya,http://www.atpworldtour.com/en/players/pablo-arraya/a035/overview,PER,"Lima, Peru","Cordoba, Argentina",1961.10.21,1961.0,10.0,21.0,1980.0,160.0,73.0,"5'11""",71.0,180.0,Right-Handed,
27,a036,edoardo-artaldi,Edoardo,Artaldi,http://www.atpworldtour.com/en/players/edoardo-artaldi/a036/overview,ITA,,,,,,,0.0,0.0,0.0,"0'0""",0.0,0.0,Right-Handed,
28,a039,juan-avendano,Juan,Avendano,http://www.atpworldtour.com/en/players/juan-avendano/a039/overview,ESP,,"Luanco, Spain",1961.01.29,1961.0,1.0,29.0,0.0,160.0,73.0,"5'10""",70.0,178.0,Right-Handed,
29,a040,roberto-azar,Roberto,Azar,http://www.atpworldtour.com/en/players/roberto-azar/a040/overview,ARG,"Buenos Aires, Argentina","Lincoln, Argentina",1966.03.21,1966.0,3.0,21.0,1984.0,170.0,77.0,"6'1""",73.0,185.0,Left-Handed,
30,a042,ricardo-acioly,Ricardo,Acioly,http://www.atpworldtour.com/en/players/ricardo-acioly/a042/overview,BRA,"Rio de Janeiro, Brazil","Rio de Janeiro, Brazil",1964.02.04,1964.0,2.0,4.0,1986.0,181.0,82.0,"5'11""",71.0,180.0,Right-Handed,
31,a043,aniceto-alvarez,Aniceto,Alvarez,http://www.atpworldtour.com/en/players/aniceto-alvarez/a043/overview,ESP,,,,,,,0.0,0.0,0.0,"0'0""",0.0,0.0,Right-Handed,
32,a044,victor-amaya,Victor,Amaya,http://www.atpworldtour.com/en/players/victor-amaya/a044/overview,USA,,"Denver, CO",1954.07.02,1954.0,7.0,2.0,0.0,0.0,0.0,"6'7""",79.0,201.0,Left-Handed,
33,a051,juan-carlos-ayala,Juan Carlos,Ayala,http://www.atpworldtour.com/en/players/juan-carlos-ayala/a051/overview,CHI,,,1961.06.18,1961.0,6.0,18.0,,,,,,,,
34,a052,m-arenzon,M.,Arenzon,http://www.atpworldtour.com/en/players/m-arenzon/a052/overview,BRA,,,,,,,0.0,0.0,0.0,"0'0""",0.0,0.0,Right-Handed,
35,a053,john-austin,John,Austin,http://www.atpworldtour.com/en/players/john-austin/a053/overview,USA,"Scottsdale, AZ","Long Beach, CA",1957.07.31,1957.0,7.0,31.0,0.0,195.0,88.0,"6'4""",76.0,,Ambidextrous,
36,a056,terry-addison,Terry,Addison,http://www.atpworldtour.com/en/players/terry-addison/a056/overview,AUS,,"Wondai, QLDS, Australia",1946.01.11,1946.0,1.0,11.0,0.0,170.0,77.0,"5'11""",71.0,180.0,Right-Handed,
37,a057,elio-lito-alvarez,Elio Lito,Alvarez,http://www.atpworldtour.com/en/players/elio-lito-alvarez/a057/overview,ARG,,,1947.12.05,1947.0,12.0,5.0,0.0,0.0,0.0,"0'0""",0.0,0.0,,
38,a058,george-amaya,George,Amaya,http://www.atpworldtour.com/en/players/george-amaya/a058/overview,USA,"Atlanta, GA, USA","Weymouth, MA, USA",1950.02.12,1950.0,2.0,12.0,1975.0,160.0,73.0,"5'8""",68.0,173.0,Left-Handed,
39,a059,ashok-amritraj,Ashok,Amritraj,http://www.atpworldtour.com/en/players/ashok-amritraj/a059/overview,IND,,"Madras, India",1957.02.22,1957.0,2.0,22.0,0.0,0.0,0.0,"0'0""",0.0,,Right-Handed,
40,a060,mal-anderson,Mal,Anderson,http://www.atpworldtour.com/en/players/mal-anderson/a060/overview,AUS,,"Theodore, QLDS, Australia",1935.03.03,1935.0,3.0,3.0,0.0,0.0,0.0,"0'0""",0.0,,Right-Handed,
41,a061,jorge-andrew,Jorge,Andrew,http://www.atpworldtour.com/en/players/jorge-andrew/a061/overview,VEN,"Lexington, SC, U.S.A.","Caracas, Venezuela",1951.11.02,1951.0,11.0,2.0,,195.0,88.0,"5'11""",71.0,,Right-Handed,One-Handed Backhand
42,a063,arthur-ashe,Arthur,Ashe,http://www.atpworldtour.com/en/players/arthur-ashe/a063/overview,USA,,"Richmond, VA",1943.07.10,1943.0,7.0,10.0,1969.0,160.0,73.0,"6'1""",73.0,185.0,Right-Handed,One-Handed Backhand
43,a062,john-andrews,John,Andrews,http://www.atpworldtour.com/en/players/john-andrews/a062/overview,USA,,"Houston, TX, USA",1952.02.05,1952.0,2.0,5.0,0.0,0.0,0.0,"0'0""",0.0,,Ambidextrous,
44,a064,guillermo-aubone,Guillermo,Aubone,http://www.atpworldtour.com/en/players/guillermo-aubone/a064/overview,ARG,,"Buenos Aires, Argentina",1954.06.08,1954.0,6.0,8.0,0.0,0.0,0.0,"0'0""",0.0,,Left-Handed,
45,a065,jeff-austin,Jeff,Austin,http://www.atpworldtour.com/en/players/jeff-austin/a065/overview,USA,,"Rolling Hills, CA, USA",1951.07.05,1951.0,7.0,5.0,0.0,0.0,0.0,"0'0""",0.0,,Right-Handed,
46,a066,pieter-aldrich,Pieter,Aldrich,http://www.atpworldtour.com/en/players/pieter-aldrich/a066/overview,RSA,"Vereeniging, South Africa","Johannesburg, South Africa",1965.09.07,1965.0,9.0,7.0,1987.0,177.0,80.0,"5'11""",71.0,180.0,Right-Handed,
47,a068,tim-anderson,Tim,Anderson,http://www.atpworldtour.com/en/players/tim-anderson/a068/overview,USA,,,,,,,0.0,0.0,0.0,"0'0""",0.0,0.0,Right-Handed,
48,a080,orlando-agudelo,Orlando,Agudelo,http://www.atpworldtour.com/en/players/orlando-agudelo/a080/overview,COL,,,,,,,0.0,0.0,0.0,"0'0""",0.0,,Right-Handed,
49,a073,luis-ayala,Luis,Ayala,http://www.atpworldtour.com/en/players/luis-ayala/a073/overview,CHI,,Santiago,1932.09.18,1932.0,9.0,18.0,,,,,,,Right-Handed,
50,a086,birger-andersson,Birger,Andersson,http://www.atpworldtour.com/en/players/birger-andersson/a086/overview,SWE,,,1951.03.26,1951.0,3.0,26.0,0.0,0.0,0.0,"0'0""",0.0,,Right-Handed,
51,a085,rich-andrews,Rich,Andrews,http://www.atpworldtour.com/en/players/rich-andrews/a085/overview,USA,,,,,,,0.0,0.0,0.0,"0'0""",0.0,,Right-Handed,
52,a093,gabriel-auroux,Gabriel,Auroux,http://www.atpworldtour.com/en/players/gabriel-auroux/a093/overview,ARG,,,,,,,0.0,0.0,0.0,"0'0""",0.0,,Right-Handed,
53,a092,andre-agassi,Andre,Agassi,http://www.atpworldtour.com/en/players/andre-agassi/a092/overview,USA,"Las Vegas, Nevada, USA","Las Vegas, Nevada, USA",1970.04.29,1970.0,4.0,29.0,1986.0,177.0,80.0,"5'11""",71.0,180.0,Right-Handed,Two-Handed Backhand
54,a0ab,adrian-andreev,Adrian,Andreev,http://www.atpworldtour.com/en/players/adrian-andreev/a0ab/overview,BUL,,,2001.05.12,2001.0,5.0,12.0,,,,,,,Ambidextrous,
55,a0cy,luis-alberto-ayala,Luis Alberto,Ayala,http://www.atpworldtour.com/en/players/luis-alberto-ayala/a0cy/overview,CHI,,,1959.10.21,1959.0,10.0,21.0,,,,,,,,
56,a102,kehinde-ajayi,Kehinde,Ajayi,http://www.atpworldtour.com/en/players/kehinde-ajayi/a102/overview,NGR,,,,,,,0.0,0.0,0.0,"0'0""",0.0,,Right-Handed,
57,a105,steven-alger,Steven,Alger,http://www.atpworldtour.com/en/players/steven-alger/a105/overview,BER,,Bermuda,,,,,0.0,185.0,84.0,"6'2""",74.0,188.0,Left-Handed,
58,a111,haim-arlozorov,Haim,Arlozorov,http://www.atpworldtour.com/en/players/haim-arlozorov/a111/overview,ISR,,,,,,,0.0,0.0,0.0,"0'0""",0.0,0.0,,
59,a113,paul-avis,Paul,Avis,http://www.atpworldtour.com/en/players/paul-avis/a113/overview,RSA,,"Springs, South Africa",1958.04.14,1958.0,4.0,14.0,0.0,0.0,0.0,"0'0""",0.0,,Right-Handed,
60,a118,unknown-unknown,Unknown,Unknown,http://www.atpworldtour.com/en/players/unknown-unknown/a118/overview,,,,,,,,,,,,,,Ambidextrous,
61,a119,michael-appleton,Michael,Appleton,http://www.atpworldtour.com/en/players/michael-appleton/a119/overview,GBR,,"Lancashire, England",1969.01.01,1969.0,1.0,1.0,0.0,0.0,0.0,"0'0""",0.0,,Ambidextrous,
62,a121,william-alvarez,William,Alvarez,http://www.atpworldtour.com/en/players/william-alvarez/a121/overview,COL,,"Medellin, Colombia",1934.12.15,1934.0,12.0,15.0,0.0,182.0,83.0,"5'10""",70.0,,,
63,a120,jose-luis-arilla,Jose Luis,Arilla,http://www.atpworldtour.com/en/players/jose-luis-arilla/a120/overview,ESP,,,,,,,0.0,0.0,0.0,"0'0""",0.0,0.0,,
64,a122,mohammad-hossein-akbari,Mohammad Hossein,Akbari,http://www.atpworldtour.com/en/players/mohammad-hossein-akbari/a122/overview,IRI,,,,,,,0.0,0.0,0.0,"0'0""",0.0,,,
65,a127,bob-alloo,Bob,Alloo,http://www.atpworldtour.com/en/players/bob-alloo/a127/overview,USA,,"Overland Park, KS, U.S.A.",1949.05.07,1949.0,5.0,7.0,0.0,0.0,0.0,"0'0""",0.0,0.0,Right-Handed,
66,a124,jose-ayala,Jose,Ayala,http://www.atpworldtour.com/en/players/jose-ayala/a124/overview,MEX,,"Guadalajara, Mexico",1970.12.22,1970.0,12.0,22.0,,167.0,76.0,"5'11""",71.0,180.0,Right-Handed,
67,a134,malcolm-allen,Malcolm,Allen,http://www.atpworldtour.com/en/players/malcolm-allen/a134/overview,USA,,"Los Angeles, CA",1967.07.13,1967.0,7.0,13.0,0.0,155.0,70.0,"5'10""",70.0,178.0,Right-Handed,
68,a136,tino-anda,Tino,Anda,http://www.atpworldtour.com/en/players/tino-anda/a136/overview,ESP,,"Zaragoza, Spain",1968.04.16,1968.0,4.0,16.0,0.0,145.0,66.0,"5'11""",71.0,180.0,Right-Handed,
69,a145,taghi-akbari,Taghi,Akbari,http://www.atpworldtour.com/en/players/taghi-akbari/a145/overview,IRI,,,,,,,0.0,0.0,0.0,"0'0""",0.0,,Right-Handed,
70,a141,jose-francisco-altur,Jose Francisco,Altur,http://www.atpworldtour.com/en/players/jose-francisco-altur/a141/overview,ESP,"Valencia, Spain","Valencia, Spain",1968.03.24,1968.0,3.0,24.0,1985.0,179.0,81.0,"6'3""",75.0,190.0,,
71,a138,eric-amend,Eric,Amend,http://www.atpworldtour.com/en/players/eric-amend/a138/overview,USA,,"Berkeley, CA",1965.11.17,1965.0,11.0,17.0,0.0,155.0,70.0,"5'11""",71.0,180.0,Right-Handed,
72,a147,john-antonas,John,Antonas,http://www.atpworldtour.com/en/players/john-antonas/a147/overview,BAH,,,,,,,0.0,0.0,0.0,"0'0""",0.0,,Right-Handed,
73,a148,bengt-aberg,Bengt,Aberg,http://www.atpworldtour.com/en/players/bengt-aberg/a148/overview,SWE,,,,,,,0.0,0.0,0.0,"0'0""",0.0,0.0,Right-Handed,
74,a149,pablo-albano,Pablo,Albano,http://www.atpworldtour.com/en/players/pablo-albano/a149/overview,ARG,"Buenos Aires, Argentina","Buenos Aires, Argentina",1967.04.11,1967.0,4.0,11.0,1986.0,175.0,79.0,"5'10""",70.0,178.0,Right-Handed,
75,a158,jose-luis-aparisi,Jose-Luis,Aparisi,http://www.atpworldtour.com/en/players/jose-luis-aparisi/a158/overview,ESP,,"Valencia, Spain",1969.03.11,1969.0,3.0,11.0,0.0,146.0,66.0,"5'10""",70.0,178.0,,
76,a162,adam-anderson,Adam,Anderson,http://www.atpworldtour.com/en/players/adam-anderson/a162/overview,AUS,,"Sydney, Australia",1969.12.21,1969.0,12.0,21.0,0.0,160.0,73.0,"5'11""",71.0,180.0,Right-Handed,
77,a163,johan-anderson,Johan,Anderson,http://www.atpworldtour.com/en/players/johan-anderson/a163/overview,AUS,,"Vasteras, Sweden",1971.09.29,1971.0,9.0,29.0,0.0,171.0,78.0,"6'0""",72.0,183.0,Right-Handed,
78,a169,ian-aler,Ian,Aler,http://www.atpworldtour.com/en/players/ian-aler/a169/overview,USA,,"Costa Mesa, CA, U.S.A.",1965.11.11,1965.0,11.0,11.0,0.0,0.0,0.0,"0'0""",0.0,,Right-Handed,
79,a165,zeeshan-ali,Zeeshan,Ali,http://www.atpworldtour.com/en/players/zeeshan-ali/a165/overview,IND,,"Calcutta, India",1970.01.01,1970.0,1.0,1.0,0.0,145.0,66.0,"5'11""",71.0,180.0,Right-Handed,
80,a172,alejandro-aramburu,Alejandro,Aramburu,http://www.atpworldtour.com/en/players/alejandro-aramburu/a172/overview,PER,,"Lima, Peru",1969.02.14,1969.0,2.0,14.0,0.0,140.0,64.0,"5'9""",69.0,175.0,Right-Handed,
81,a173,kim-andersson,Kim,Andersson,http://www.atpworldtour.com/en/players/kim-andersson/a173/overview,SWE,,,,,,,0.0,0.0,0.0,"0'0""",0.0,0.0,Right-Handed,
82,a176,jan-apell,Jan,Apell,http://www.atpworldtour.com/en/players/jan-apell/a176/overview,SWE,"Kungsbacka,Sweden","Goteborg, Sweden",1969.11.04,1969.0,11.0,4.0,1988.0,162.0,73.0,"6'0""",72.0,183.0,Left-Handed,
83,a177,david-adams,David,Adams,http://www.atpworldtour.com/en/players/david-adams/a177/overview,RSA,"Cape Town, South Africa","Durban, South Africa",1970.01.05,1970.0,1.0,5.0,1989.0,175.0,79.0,"6'2""",74.0,188.0,Right-Handed,
84,a181,massimo-ardinghi,Massimo,Ardinghi,http://www.atpworldtour.com/en/players/massimo-ardinghi/a181/overview,ITA,"Florence, Italy","Genova, Italy",1971.03.06,1971.0,3.0,6.0,1988.0,157.0,71.0,"5'9""",69.0,175.0,Right-Handed,
85,a182,johan-alven,Johan,Alven,http://www.atpworldtour.com/en/players/johan-alven/a182/overview,SWE,,,1972.01.13,1972.0,1.0,13.0,0.0,0.0,0.0,"0'0""",0.0,,Right-Handed,
86,a188,john-arbanas,John,Arbanas,http://www.atpworldtour.com/en/players/john-arbanas/a188/overview,AUS,,,1970.02.07,1970.0,2.0,7.0,0.0,0.0,0.0,"0'0""",0.0,0.0,Right-Handed,
87,a183,carsten-arriens,Carsten,Arriens,http://www.atpworldtour.com/en/players/carsten-arriens/a183/overview,GER,"Munich, Germany","Frankfurt, Germany",1969.04.11,1969.0,4.0,11.0,1991.0,178.0,81.0,"6'4""",76.0,193.0,Right-Handed,
88,a190,emilio-benfele-alvarez,Emilio,Benfele Alvarez,http://www.atpworldtour.com/en/players/emilio-benfele-alvarez/a190/overview,ESP,"Munich, Gemany","Figeras, Spain",1972.11.15,1972.0,11.0,15.0,1989.0,188.0,85.0,"6'0""",72.0,183.0,,
89,a199,chuck-adams,Chuck,Adams,http://www.atpworldtour.com/en/players/chuck-adams/a199/overview,USA,"Pacific Palisades, CA","Pacific Palisades, CA",1971.04.23,1971.0,4.0,23.0,1990.0,178.0,81.0,"6'1""",73.0,185.0,Right-Handed,
90,a202,wayne-arthurs,Wayne,Arthurs,http://www.atpworldtour.com/en/players/wayne-arthurs/a202/overview,AUS,"Melbourne, Australia","Adelaide, S.A., Australia",1971.03.18,1971.0,3.0,18.0,1990.0,177.0,80.0,"6'3""",75.0,190.0,Left-Handed,
91,a203,karim-alami,Karim,Alami,http://www.atpworldtour.com/en/players/karim-alami/a203/overview,MAR,"Monte Carlo, Monaco","Casablanca, Morocco",1973.05.24,1973.0,5.0,24.0,1990.0,187.0,85.0,"6'1""",73.0,185.0,Right-Handed,
92,a207,roberto-alvarez,Roberto,Alvarez,http://www.atpworldtour.com/en/players/roberto-alvarez/a207/overview,ARG,,,1971.02.23,1971.0,2.0,23.0,0.0,0.0,0.0,"0'0""",0.0,,Right-Handed,
93,a213,stephane-andriolo,Stephane,Andriolo,http://www.atpworldtour.com/en/players/stephane-andriolo/a213/overview,FRA,,,,,,,0.0,0.0,0.0,"0'0""",0.0,,Right-Handed,
94,a209,xavier-avila,Xavier,Avila,http://www.atpworldtour.com/en/players/xavier-avila/a209/overview,ESP,"Ponte Vedra Beach, FL","Lleida, Spain",1973.12.10,1973.0,12.0,10.0,0.0,160.0,73.0,"6'0""",72.0,183.0,Right-Handed,
95,a217,yenesi-allen,Yenesi,Allen,http://www.atpworldtour.com/en/players/yenesi-allen/a217/overview,NIG,,,,,,,0.0,0.0,0.0,"0'0""",0.0,0.0,Right-Handed,
96,a216,lawrence-awopegba,Lawrence,Awopegba,http://www.atpworldtour.com/en/players/lawrence-awopegba/a216/overview,NIG,,,,,,,0.0,0.0,0.0,"0'0""",0.0,,Right-Handed,
97,a224,patricio-arnold,Patricio,Arnold,http://www.atpworldtour.com/en/players/patricio-arnold/a224/overview,ARG,,"Buenos Aires, Argentina",1971.10.20,1971.0,10.0,20.0,0.0,160.0,73.0,"6'0""",72.0,183.0,Right-Handed,
98,a226,hicham-arazi,Hicham,Arazi,http://www.atpworldtour.com/en/players/hicham-arazi/a226/overview,MAR,"Monte Carlo, Monaco","Casablanca, Morocco",1973.10.19,1973.0,10.0,19.0,1993.0,143.0,65.0,"5'9""",69.0,175.0,Left-Handed,
99,a228,lucas-arnold-ker,Lucas,Arnold Ker,http://www.atpworldtour.com/en/players/lucas-arnold-ker/a228/overview,ARG,"Barcelona, Spain","Buenos Aires, Argentina",1974.10.12,1974.0,10.0,12.0,1994.0,168.0,76.0,"5'11""",71.0,180.0,,
100,a234,pietro-angelini,Pietro,Angelini,http://www.atpworldtour.com/en/players/pietro-angelini/a234/overview,ITA,,,1971.12.07,1971.0,12.0,7.0,0.0,0.0,0.0,"0'0""",0.0,,Right-Handed,
101,a241,thomas-andersen,Thomas,Andersen,http://www.atpworldtour.com/en/players/thomas-andersen/a241/overview,DEN,,,,,,,0.0,0.0,0.0,"0'0""",0.0,0.0,Right-Handed,
102,a244,nasser-ghanim-al-khulaifi,Nasser-Ghanim,Al-Khulaifi,http://www.atpworldtour.com/en/players/nasser-ghanim-al-khulaifi/a244/overview,QAT,,,1973.11.12,1973.0,11.0,12.0,0.0,0.0,0.0,"0'0""",0.0,,,
103,a270,charles-auffray,Charles,Auffray,http://www.atpworldtour.com/en/players/charles-auffray/a270/overview,FRA,,,1973.02.24,1973.0,2.0,24.0,1996.0,182.0,83.0,"6'0""",72.0,183.0,Right-Handed,
104,a272,julian-alonso,Julian,Alonso,http://www.atpworldtour.com/en/players/julian-alonso/a272/overview,ESP,"Monte Carlo, Monaco","Canet de Mar, Spain",1977.08.02,1977.0,8.0,2.0,1996.0,180.0,82.0,"6'1""",73.0,185.0,Right-Handed,
105,a276,jan-frode-andersen,Jan Frode,Andersen,http://www.atpworldtour.com/en/players/jan-frode-andersen/a276/overview,NOR,"Oslo, Norway","Asker, Norway",1972.08.29,1972.0,8.0,29.0,1997.0,187.0,85.0,"6'3""",75.0,190.0,Left-Handed,Two-Handed Backhand
106,a280,henrik-andersson,Henrik,Andersson,http://www.atpworldtour.com/en/players/henrik-andersson/a280/overview,SWE,,,1977.05.02,1977.0,5.0,2.0,0.0,0.0,0.0,"0'0""",0.0,,Right-Handed,
107,a293,yves-allegro,Yves,Allegro,http://www.atpworldtour.com/en/players/yves-allegro/a293/overview,SUI,"Grone, Switzerland","Grone, Switzerland",1978.08.24,1978.0,8.0,24.0,1997.0,181.0,82.0,"6'0""",72.0,183.0,Right-Handed,
108,a303,leonardo-azzaro,Leonardo,Azzaro,http://www.atpworldtour.com/en/players/leonardo-azzaro/a303/overview,ITA,"Florence, Italy","Florence, Italy",1978.05.30,1978.0,5.0,30.0,1997.0,165.0,75.0,"6'2""",74.0,188.0,Left-Handed,
109,a305,jacob-adaktusson,Jacob,Adaktusson,http://www.atpworldtour.com/en/players/jacob-adaktusson/a305/overview,SWE,"Stockholm, Sweden","Stockholm, Sweden",1980.08.31,1980.0,8.0,31.0,0.0,192.0,87.0,"6'4""",76.0,,Right-Handed,
110,a308,florian-allgauer,Florian,Allgauer,http://www.atpworldtour.com/en/players/florian-allgauer/a308/overview,ITA,,,1979.01.07,1979.0,1.0,7.0,0.0,0.0,0.0,"0'0""",0.0,,Right-Handed,
111,a310,emin-agaev,Emin,Agaev,http://www.atpworldtour.com/en/players/emin-agaev/a310/overview,AZE,"Monte Carlo, Monaco",,1979.05.14,1979.0,5.0,14.0,1999.0,170.0,77.0,"0'0""",0.0,,Right-Handed,
112,a316,diego-ayala,Diego,Ayala,http://www.atpworldtour.com/en/players/diego-ayala/a316/overview,USA,"Coral Springs, Florida, USA","Cordoba, Argentina",1979.04.29,1979.0,4.0,29.0,1998.0,170.0,77.0,"5'9""",69.0,175.0,Right-Handed,
113,a311,hugo-armando,Hugo,Armando,http://www.atpworldtour.com/en/players/hugo-armando/a311/overview,USA,"Bradenton, Florida, USA","Miami, Florida, USA",1978.05.27,1978.0,5.0,27.0,1997.0,180.0,82.0,"6'0""",72.0,183.0,Right-Handed,One-Handed Backhand
114,a318,patricio-arquez,Patricio,Arquez,http://www.atpworldtour.com/en/players/patricio-arquez/a318/overview,ARG,,,1980.04.12,1980.0,4.0,12.0,0.0,0.0,0.0,"0'0""",0.0,,Right-Handed,
